Table,Field,Description,Minimum,Maximum,Units,Source,Unrepresentable
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,,Table containing attribute information associated with the magnetic data set.,,,,,
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,DEM,Digital Elevation Model,2191.985303,4315.755446,Meters,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,Drape,Drape Surface,2296.577166,4345.734289,Meters,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,Calc_radar,Calculated Radar (gps_elev - DEM),22.9263817,735.9921128,Meters,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,IGRF,IGRF Correction,50136.72089,50631.64886,nT,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,Year,Year,2023,2024,Year,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,Totmag,Final total magnetic value,48523.52311,58682.07325,nT,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,Fiducial,Fiducial,0,8143.5,n/a,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,Diurnal_raw1,Base Station Magnetics,49933.292,50460.47363,nT,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,Resmag,Diurnally and IGRF Corrected and leveled Magnetics,-1865.185728,8483.248614,nT,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,GPS_raw,Raw gps elevation,2297.689941,4384.689941,Meters,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,Mag_comp,Compensated Magnetics,48513.54123,58683.23552,nT,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,UTCtime,HH:MM:SS.SS,0:00:00,24:00:00,Gps time,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
