Table,Field,Description,Minimum,Maximum,Units,Source,Unrepresentable
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,,Table containing attribute information associated with the radiometric data set.,,,,,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,DEM,Digital Elevation Model,2192.720148,4312.730215,Meters,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,Drape,Drape Surface,2297.820658,4345.48358,Meters,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,Radar,Raw Radar Altimeter,1.49000001,592.210022,Meters,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,Calc_radar,Calculated Radar (gps_elev�DEM),22.9263817,735.9301272,Meters,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,Cosmic_raw,Raw Cosmic,127,533,cps,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,Fiducial,Fiducial,0,1917,n/a,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,Livetime,Micro Seconds,1000,1000,Micro seconds,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,Year,Year,2024,2024,Year,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,K_raw,Raw potassium,14,745,Cps,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,U_raw,Raw uranium,7,632,Cps,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,Th_raw,Raw thorium,4,255,Cps,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,TC_raw,Raw total count,557,13929,Cps,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,UTCtime,HH:MM:SS.SS,0:00:00,24:00:00,Gps time,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,Pressure,Pressure,602.4000244,778,mBar,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,Temp,Temperature,9.410018921,35.83000183,Degrees C,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,Humidity,Humidity,8.109999657,72.02999878,percent,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,GPS_final,Gps elevation(PPP corrected),2295.9332,4384.5932,Meters (PPP corrected),NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,Latitude,Latitude,38.10685717,38.9880513,"Decimal Degrees, WGS84",NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,Longitude,Longitude,-107.270006,-105.9901736,"Decimal Degrees, WGS84",NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,Easting,"UTM X Coordinate, Zone 13",301607.3161,413756.313,"Meters, WGS84",NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,Northing,"UTM Y Coordinate, Zone 13",4218314.406,4316860.774,"Meters, WGS84",NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,Directn,Heading,0,359,Degrees,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,GPS_raw,Raw gps elevation,2295.050049,4384.52002,Meters,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,Dose_final,Dose,-3.39441967,236.1726074,nGy/h,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,Line_no,Line Number,10,10990,Numeric,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,Radon_raw,Radon correction,0.000867965,16.48234495,cps,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,TC_final,Final corrected Total Count,1.016773867,95.55490742,nGy/h,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,NASVD_TC,Raw total count NASVD,358.1499939,13293.75977,Cps,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,NASVD_K,Raw potassium NASVD,13.71000004,825.3499756,Cps,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,NASVD_U,Raw uranium NASVD,13.27000046,645.1400146,Cps,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,NASVD_Th,Raw thorium NASVD,8.149999619,255.9299927,Cps,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,Th_final,Final corrected Thorium,0.584765582,12.05640084,Ppm,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,Th_K_final,Thorium/Potassium ratio,0.42331764,17.20535568,Ratio,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,Eff_height,Radar corrected for STP,1,471.9034729,meters,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,U_final,Final corrected uranium,0.439150852,31.90591371,ppm,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,UpU_raw,Upward raw uranium,0,62,Cps,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,K_final,Final corrected Potassium,0.13314875,3.237248264,Percent K,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,Flight,Flight Number,32,75,Numeric,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,U_Th_final,Uranium/potassium ratio,0.265409194,7.761290021,ratio,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,Jul_day,Julian Day,183,298,Day of the year,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,U_K_final,Uranium/potassium ratio,0.332966506,14.55782258,Ratio,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,Line_type,Line Type,L,T,"Alpha(L=line,T=tie)",NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltMid2023.csv,Aircraft,Aircraft Identifier,n/a,n/a,Alpha numeric,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RTK_AirborneRadiometricSurveyColoradoMineralBeltMid2023.tif,,3-band raster geospatial radiometric data file of the corrected thorium/potassium ratio in radiometric equivalent thorium (ppm) / radiometric equivalent potassium (%).,,,,,
RTK_AirborneRadiometricSurveyColoradoMineralBeltMid2023.tif,Value,Unique numeric values contained in each raster cell.,0,255,None,U.S. Geological Survey,
RUK_AirborneRadiometricSurveyColoradoMineralBeltMid2023.tif,,3-band raster geospatial radiometric data file of the corrected uranium/potassium ratio in radiometric equivalent uranium (ppm) / radiometric equivalent potassium (%).,,,,,
RUK_AirborneRadiometricSurveyColoradoMineralBeltMid2023.tif,Value,Unique numeric values contained in each raster cell.,0,255,None,U.S. Geological Survey,
RUT_AirborneRadiometricSurveyColoradoMineralBeltMid2023.tif,,3-band raster geospatial radiometric data file of the corrected uranium/thorium ratio in radiometric equivalent uranium (ppm) / radiometric equivalent thorium (ppm).,,,,,
RUT_AirborneRadiometricSurveyColoradoMineralBeltMid2023.tif,Value,Unique numeric values contained in each raster cell.,0,255,None,U.S. Geological Survey,
Ternary_AirborneRadiometricSurveyColoradoMineralBeltMid2023.tif,,"3-band raster geospatial radiometric data file of the corrected potatasium, thorium, and uranium shown as a normalized ternary image.",,,,,
Ternary_AirborneRadiometricSurveyColoradoMineralBeltMid2023.tif,Value,Unique numeric values contained in each raster cell.,0,255,None,U.S. Geological Survey,
