Table,Field,Description,Minimum,Maximum,Units,Source,Unrepresentable
MagLine_AirborneMagneticSurveyColoradoMineralBeltNE2024.csv,,Table containing attribute information associated with the magnetic data set.,,,,,
MagLine_AirborneMagneticSurveyColoradoMineralBeltNE2024.csv,DEM,Digital Elevation Model,1525.897339,4347.791672,m (meters),NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltNE2024.csv,Drape,Drape Surface,2093.036024,4430.676234,m (meters),NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltNE2024.csv,Calc_radar,Calculated Radar (GPS_elev - DEM),51.77644589,673.7914679,m (meters),NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltNE2024.csv,IGRF,IGRF Correction,50658.76782,51673.53478,nT (nanoteslas),NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltNE2024.csv,Year,Year,2024,2024,Year,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltNE2024.csv,Totmag,Final total magnetic value,49814.20516,54133.37802,nT (nanoteslas),NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltNE2024.csv,Fiducial,Fiducial,0,15677,Numeric,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltNE2024.csv,Diurnal_raw,Base Station Magnetics,50383.74219,51315.385,nT (nanoteslas),NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltNE2024.csv,Resmag,Diurnally and IGRF Corrected and leveled Magnetics,-862.2517685,2791.061235,nT (nanoteslas),NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltNE2024.csv,GPS_raw,Raw GPS elevation,2031.410034,4429.814941,m (meters),NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltNE2024.csv,Mag_comp,Compensated Magnetics,49799.13852,54173.27181,nT (nanoteslas),NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltNE2024.csv,UTCtime,HH:MM:SS.SS,0:00:00,24:00:00,HH:MM:SS.SS,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltNE2024.csv,Radar,Radar Altimeter,-20.84604957,506.0243365,m (meters),NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltNE2024.csv,GPS_final,GPS elevation (PPP corrected),2032.991,4429.78205,m (meters) (PPP corrected),NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltNE2024.csv,Latitude,Latitude,39.01366725,40.67431628,"Decimal Degrees, WGS84",NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltNE2024.csv,Longitude,Longitude,-106.3936754,-105.0980794,"Decimal Degrees, WGS84",NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltNE2024.csv,Fluxgate_X,X fluxgate,-17040,-2893,mV (millivolts),NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltNE2024.csv,Fluxgate_Y,Y fluxgate,-11898,13559,mV (millivolts),NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltNE2024.csv,Fluxgate_Z,Z fluxgate,-15239,14622,mV (millivolts),NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltNE2024.csv,Easting,"UTM X Coordinate, Zone 13",379620.9534,491683.0797,"m (meters), WGS84",NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltNE2024.csv,Northing,"UTM Y Coordinate, Zone 13",4319203.021,4502626.903,"m (meters), WGS84",NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltNE2024.csv,Diurnal,Filtered Base Magnetics,50383.77035,51315.37354,nT (nanoteslas),NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltNE2024.csv,Mag_uncomp,Raw magnetics,49773.0574,54145.4404,nT (nanoteslas),NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltNE2024.csv,Mag_diur_cor,Diurnally corrected magnetics,49796.99433,54185.82229,nT (nanoteslas),NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
