Table,Field,Description,Minimum,Maximum,Units,Source,Unrepresentable
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltNE2024.csv,,Table containing attribute information associated with the radiometric data set.,,,,,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltNE2024.csv,DEM,Digital Elevation Model,1525.897339,4347.683185,m (meters),NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltNE2024.csv,Drape,Drape Surface,2093.561161,4429.102331,m (meters),NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltNE2024.csv,Radar,Raw Radar Altimeter,-20.84604957,494.1917853626320,m (meters),NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltNE2024.csv,Calc_radar,Calculated Radar (GPS_elev minus DEM),52.10193929,673.8202316558639,m (meters),NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltNE2024.csv,Cosmic_raw,Raw Cosmic,101,511,cps (counts per second),NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltNE2024.csv,Fiducial,Fiducial,0,1567,Numeric,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltNE2024.csv,Livetime,Active measurement time of the spectrometer for each sample,1000,1000,Microseconds,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltNE2024.csv,Year,Year,2024,2024,Year,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltNE2024.csv,K_raw,Raw potassium,6,496,cps (counts per second),NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltNE2024.csv,U_raw,Raw uranium,6,314,cps (counts per second),NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltNE2024.csv,Th_raw,Raw thorium,1,391,cps (counts per second),NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltNE2024.csv,TC_raw,Raw total count,265,6928,cps (counts per second),NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltNE2024.csv,UTCtime,HH:MM:SS.SS,0:00:00,24:00:00,HH:MM:SS.SS,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltNE2024.csv,Pressure,Pressure,603.1000366,805.5,mBar (millibar),NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltNE2024.csv,Temp,Temperature,7.210000038,34.40999985,Degrees C,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
RadNoSpectra_AirborneRadiometricSurveyColoradoMineralBeltNE2024.csv,Humidity,Humidity,10.27000046,74.59999847,percent,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
