Deposit,Lat_WGS84,Long_WGS84,State,MinSystem,DepType,CritMin,FocusArea,DepCat,Rank ,Production,Resources,Source_s,Links
21 and 27 fluorspar mines,34.97589,-107.98506,NM,Magmatic REE,Fluorspar,fluorspar,Zuni Mountains fluorspar,CM-past producer+resources,5,"District production (1918-1953): 182,244 tons fluorite.","Reserve (1944): 112,420 short tons ore @76.2% CaF2.",MRDS (2005); Weissenborn and Mallery (1944),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10069412
Addie,43.92867,-103.52356,SD,Porphyry Sn (granite-related),Pegmatite LCT,tin,Southern Black Hills pegmatites,CM-past producer,1,Production (1888): 800 lbs ore.,Unknown.,Karl and others (2018),https://doi.org/10.5066/P97JYNJL
Addie chromite,35.3987,-83.15928,NC,Mafic magmatic,Chromite,chromium,Southeast Ultramafics Cr-Mg; Blue Ridge belt,CM resources,3,Production: minor.,"Chromite concentrate contains 36,470 ppb Pt, and 13,200 ppb Pd. Chromite chip sample has 29.46% Cr2O3, 19.89% Fe2O3, 11.4% SiO2, 24% Al2O3, and 15.74% MgO.",MRDS (2005),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10248633
Afton area,42.6927,-111.1312,WY,Marine chemocline,Phosphate,vanadium,Phosphoria Formation,CM resources,3,Phosphate production in the area to the west at the Smoky Canyon mine in Idaho since the 1960s.,"Indicated reserves for vanadiferous units near Afton, Wyoming (2003): 30,000,000 short tons ore @1.1% V2O5.",MRDS (2005); Love and others (2003),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10008507
Ala-Mar magnesite,38.85242,-115.3148,NV,Porphyry Cu-Mo-Au,Skarn magnesite,magnesium,Currant Creek magnesite district,CM-past producer,1,Production: (1940-1942): ~40 tons of crude magnesite and 500 tons of magnesite-bearing material.,"District reserves are small: estimated to total about 8,500 tons.",MRDS (2005); Vitaliano (1951),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10044186
Alcoa Arkansas operations,34.55842,-92.49186,AR,Chemical weathering,Bauxite,"aluminum, niobium",Arkansas Bauxite Region,CM-past producer+resources,5,"Production from multiple mines in the region (1898 to 1981): Average annual production of 1,700,000 long tons of bauxite.","Reserves (1954): 44,000,000 short tons ore @0.07% Nb (reported as columbite). Small amounts continue to be mined since 1982 for alumina-based products. Gallium is a potential alumina byproduct; niobium concentrates in processed residues.",Arkansas Geological Survey (2007); Gordon and others (1958); Nieberlein and others (1954); Van Gosen and Choate (2021),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10284005
Alder mine,48.32177,-120.15924,WA,Volcanogenic seafloor,Zinc-copper sulfide,zinc,Central Washington massive sulfide,CM-past producer+resources,5,"Production (1937-1953): > 25,000 tons of ore (commodity not reported).","Resources (1977): 4,082,000 metric tons @1.8% Zn, 0.5% Cu, 2.92 g/t Au, and 15.18 g/t Ag.",MRDS (2005); Dicken and others (2022); Huntting (1956),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055964
Alpha mine,32.36568,-108.37784,NM,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Bound Ranch Mining District,CM-past producer,1,"District production of 4,150 lbs of 1% WO3.",Unknown.,MRDS (2005); McLemore and others (1996),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10010035
Alwood,40.93928,-123.39474,CA,Basin brine path,Barite (replacement and bedded),barite,Klamath Mountains barite,CM-past producer,1,"Production (1962): 100 to 10,000 tons barite.",Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10077850
Amelia Island,30.61695,-81.44983,FL,Placer,Ilmenite/rutile/leucoxene,"titanium, zirconium",Lower Shoreline Placers,CM resources,3,None.,"Mineral resource (1993): 4,000,000 long tons @42% ilmenite-leucoxene, 5.8% rutile, and 13.2% zircon. However, the proposed mining project was postponed and the property was developed into the Amelia island Plantation resort.","MRDS (2005); Pirkle and others (1993, 2007)",https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10093328
American fluorspar deposits,32.38956,-108.37979,NM,Porphyry Cu-Mo-Au,S-R-V tungsten,fluorspar,Bound Ranch Mining District,CM-past producer,1,"Estimated production 90.7 metric tons fluorspar. District production 3,230 short tons fluorspar.",Unknown.,MRDS (2005); McLemore and others (1996),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10009964
Anarraaq,68.155,-163.033,AK,Basin brine path,Zinc-lead (MVT and sedex),"barite, zinc",Western and central Brooks Range (Brooks Range zinc belt),CM resources,3,None.,"Inferred resource estimate from Teck-Comino is 19.4 Mt containing 14.4% Zn, 4.2% Pb, and 73 g/t Ag. A related exploration target, Aktigiruq, is estimated to contain 80 to 150 Mt having 16 to 18% Zn+Pb. Estimated resource as much as 1 billion tonnes barite as well as the Zn-Pb-Ag massive sulfide zone. ",ARDF-ID: DL016; Krolak and others (2017),
Andrew Curtis mine,34.25692,-117.6838,CA,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Mount Baldy mining district,CM-past producer+resources,5,"Production (1950-1982): 1,100 kg @38.29% WO3.","Inferred resource (1982): 475,000,000 lbs W; Indicated resource (1982): 37,800,000 lbs W; Measured resource (1982): 13,300,000 lbs W.",Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Anikovik River,65.50353,-167.63472,AK,Placer,Cassiterite,tin,Lost River-Kougarok Sn-W,CM-past producer,1,"Production (1914-1915): Dredge processed 156,000 cubic yards of gravel and recovered 1,217 oz Au and 1,600 lbs concentrate containing 31% Sn.",Unknown.,ARDF-ID: TE032; Mulligan (1959) ,
Annabel Lee,37.5767,-88.1995,IL,Hybrid magmatic REE / basin brine path,Fluorspar,"fluorspar, zinc",Illinois-Kentucky Fluorspar District,CM-past producer,1,"Production (in 1990): 961,084 raw tons ore; ore from the mine averaged 30-35% CaF2 and 2-5% Zn.",Unknown.,MRDS (2005); Denny and others (2020),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10082956
Antler,34.86673,-113.86749,AZ,Volcanogenic seafloor,Copper-zinc sulfide,zinc,Southern Basin and Range VMS,CM-past producer+resources,5,"Production (1916-1970): Antler was mined intermittently and production was totaled approximately 70,000 tonnes of ore at a grade around 2.9% Cu, 6.9% Zn, 1.1% Pb, 31 g/t Ag and 0.3 g/t Au.","Total JORC compliant Measured, Indicated, and Inferred resources (2022): 11,435,323 metric tons @2.1% Cu, 4.97 %, Zn, 0.890% Pb, 0.36 g/t Au, and 32.9 g/t Ag (4.1% CuEq).",MRDS (2005); New World Resources (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10186198
Apache Warm Springs,33.56212,-107.59562,NM,Climax-type,Volcanogenic beryllium,beryllium,Apache Warm Springs (Ojo Caliente No. 2 district),CM resources,3,None.,"Estimated resource of 39,063 metric tonnes Be (not NI-43-101 compliant).",McLemore (2010b),
Apex mine,37.06972,-113.80389,UT,Basin brine path,Copper (sed-hosted and replacement),"arsenic, gallium, germanium, zinc",Tutsagubet Mining District (Apex mine),CM-past producer+resources,5,"Production (1884-1962): 180,000 troy oz Ag, 7,102 metric tons Cu, and 400 metric tons Pb; (1986): 5,634 lbs Ge and 1,645 lbs Ga.","Resource (1983): 242,768 short tons ore @0.77% Pb, 38 ppm Ag, 1.58% Zn, 0.064% Ge, 1.62% Cu, 16.73% Fe, 0.032% Ga, and 0.5% As. Apex surface dump resource (1983): 50,000 short tons ore @0.019% Ga, 0.037% Ge, and 1.55% Cu.",Karl and others (2021a),https://doi.org/10.5066/P9S73UYY
April Fool-Good Friday,40.00689,-105.40219,CO,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Boulder County tungsten district,CM-past producer,1,"Production (1917-1946): 138,000 stu WO3.",Unknown.,Karl and others (2020),https://doi.org/10.5066/P97NJLI4
